,addr,balance,first_tx_time,first_tx_from,latest_tx_time,last_tx_to,tx_num
0,0xffc8b58bb366f9371e66eb6a667b2102b963fb52,0.02,1594639668,0x4f23f598c88bc4da5e20dea212b30e6d73e1e2df,,,1.0
1,0x8517ef6ba0c100a5279f8fb56a5fcc14571ad148,0.001,1594727974,0x29709b7d78d49d7a51be2ee091fba3b80f1c5d68,1607006167,0x8517ef6ba0c100a5279f8fb56a5fcc14571ad148,2.0
2,0x9bb1880e75954a2ef2215ac55a97a95c6cb4b557,0.0182116,1587145810,0x29709b7d78d49d7a51be2ee091fba3b80f1c5d68,1600533281,0x9bb1880e75954a2ef2215ac55a97a95c6cb4b557,15.0
3,0xe669c7876b37d58807634f74209496bb76dd22d5,0.0002705832,1581290084,0xb5a9dd25cc5def3ae17a0f0b29615bc83fa4eaaf,1581290323,0xe669c7876b37d58807634f74209496bb76dd22d5,2.0
4,0x23089dde9807a652b1b260e424b8dcabfc9b448f,0.00297148361957925,1590938767,0xd2d705399d2574357477591ecf0e9b13ce60c8cd,1592772816,0x23089dde9807a652b1b260e424b8dcabfc9b448f,4.0
5,0xb21765cca1c70c98c6101d4f263af47f449fd3d7,0.002532644,1593894846,0xb2cbbdccc4fd11a8787836b767c2153dc70bf571,1594497314,0xb21765cca1c70c98c6101d4f263af47f449fd3d7,4.0
6,0x836e172dd72c260673beb52f2291a48679a08547,0.019235355965322748,1594395469,0x320a8258f93cafae6bb39ea45ae86c8acaf547d8,1594395562,0x836e172dd72c260673beb52f2291a48679a08547,2.0
7,0x91d9823afed25b293a50a271e097e62c85739dc7,0.014117143177086254,1590682602,0x809fa673fe2ab515faa168259cb14e2bedebf68e,1590682798,0x91d9823afed25b293a50a271e097e62c85739dc7,2.0
8,0xd4bf2446c9aeaa97773b25ed32a56f4932af06c6,0.007005819,,,,,
9,0xd913d8da995360de5bd1177c578acbb7d87f2fb3,0.001928026,1588111790,0x63aab151e3f8c2b2f8d56106d526a26eb3ffe2b6,1589106785,0xd913d8da995360de5bd1177c578acbb7d87f2fb3,3.0
10,0xc01a558bc46b2723eec43b95cfd546fff1cdcc9f,0.029,1591079375,0x009b6817807c332b9445f5c9cf2ac94631fe876e,,,1.0
11,0x7152a8f5f7513d63157830cac4fe91128530c896,0.012508608,1582747813,0x29709b7d78d49d7a51be2ee091fba3b80f1c5d68,1588502048,0x7152a8f5f7513d63157830cac4fe91128530c896,4.0
12,0xa7350d940f3f2ff7f9e5497b3c2e43fc39459b0a,0.0028,1587140620,0x52560119faa59cb137d9b06b9a78709f59681a95,,,1.0
13,0x44a2e802199262ea9ce83b2652cd5a7e76f42e43,0.020126174,1593431532,0x68a17b587caf4f9329f0e372e3a78d23a46de6b5,1593434125,0x44a2e802199262ea9ce83b2652cd5a7e76f42e43,8.0
14,0x4fe39dd592798d9162db3a00f31d7e4e2674b81d,0.0014645488,1581115082,0x62dc6a80ea8acfe789396abc700bcc23180195f2,1583093491,0x4fe39dd592798d9162db3a00f31d7e4e2674b81d,8.0
15,0xcd521dd2dcf4caa6f75108ebf1cfb46a757de377,0.0,,,,,
16,0x0c7171d5e8b1686755d9e9e78879f5a4f73eb806,0.009859074633709572,1592511234,0x3de4799501482c5df6a1f9654cd4586f0ae16586,1593330984,0x0c7171d5e8b1686755d9e9e78879f5a4f73eb806,7.0
17,0xd54591d40df6a2e50acf1951e4551a9a23dbf99c,0.007,,,,,0.0
18,0xe6cba9baf6d1bb686ec9c820143539ace27fdf21,0.010282291,1592990524,0x29709b7d78d49d7a51be2ee091fba3b80f1c5d68,1601536070,0xe6cba9baf6d1bb686ec9c820143539ace27fdf21,7.0
